"",AYR,,,MAIN ROTA 4,,,01.12.25,
68,,4,4,9,4,4,REST,REST
69,,REST,REST,TOA,TOA,TOA,TOA,TOA
70,,REST,33 MTF,32,31 MTWH,28,333,REST
71,,25,25,25,REST,REST,318,527
72,,REST,37 MTF,37 WH,37 WH,37 MTF,REST,516
73,,37 MTF,34,40 WH,46 WH,46 F,REST,REST
74,,REST,17,17,17,REST,312,TOA
75,,22 MT,22 MT,22 WH,REST,22 F,340,REST
75,,TOA,TOA,TOA,TOA,TOA,REST,REST
77,,REST,REST,TOA,TOA,TOA,TOA,TOA
78,,26 MT,REST,REST,26 WHF,26 WHF,319,522
79,,TOA,TOA,REST,TOA,TOA,TOA,REST
80,,TOA,58 MTWH,REST,TOA,TOA,REST,520
81,,44,44,44,REST,44,339,REST
