"",AYR,,,MAIN ROTA 2,,,01.12.25,
40,,48 MT,48 MT,48 WH,48 WH,48 F,REST,REST
41,,REST,REST,11 WH,11 WH,11 F,311,513
42,,29,REST,29,29,29,325,REST
43,,35 MT,35 MT,35 WH,35 WH,REST,REST,TOA
44,,45 MTWH,45 MTWH,45 MTWH,45 MTWH,45 F,REST,REST
45,,10 MT,10 MT,10 WH,9,REST,309,REST
46,,TOA,TOA,TOA,REST,REST,TOA,TOA
