"",AYR,,,X77 EARLY  / LATE,,01.12.25,
"",,71 MTWH,71 MTWH,71 MTWH 71 MTWH,71 F,REST,REST
20,,,,,,,
"",,REST,REST,TOA TOA,TOA,TOA,TOA
21,,,,,,,
"",,86 MT,REST,86 WH 86 WH,86 F,384,REST
22,,,,,,,
"",,82 MT,82 MT,82 WH REST,TOA,377,REST
23,,,,,,,
"",,72,72,72 72,REST,REST,TOA
24,,,,,,,
"",,85 MT,85 MT,REST 83,84 F,381,REST
25,,,,,,,
